Places ID,Nama,Kategori,Jam Buka,Jam Tutup,Lokasi,Link Lokasi,Deskripsi,Link Gambar
11,Cepogo Cheese Park,Nature & Adventure & Park,7.30,18.00,"Dusun II, Genting, Cepogo, Boyolali Regency, Central Java 57362",https://maps.app.goo.gl/71cbCxng82axKpbm7,"Cepogo Cheese Park adalah tempat wisata edukasi sekaligus rekreasi yang menawarkan pengalaman unik dalam mempelajari proses pembuatan keju. Berlokasi di Cepogo, Boyolali, tempat ini juga memiliki peternakan sapi perah yang dapat dikunjungi oleh wisatawan.

Selain edukasi, Cepogo Cheese Park menyediakan berbagai hidangan berbasis keju yang dapat dinikmati di kafe yang ada. Tempat ini cocok untuk wisata keluarga yang ingin belajar sekaligus menikmati suasana alam yang menyegarkan.",https://storage.googleapis.com/bucketsformodel/gambar/CepogoCheesePark.webp
12,Dapur Solo,Food,10.00,21.00,"Jl. Adi Sucipto, Karangasem, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57145",https://maps.app.goo.gl/uQ8qY9tmNEsoA7rWA,"Dapur Solo adalah restoran sekaligus destinasi kuliner yang menyajikan hidangan khas Solo dengan cita rasa autentik. Tempat ini terkenal dengan suasana tradisionalnya yang kental, menghadirkan pengalaman makan yang nyaman dan berkesan.

Menu andalan di Dapur Solo meliputi nasi liwet, serabi Solo, dan aneka makanan khas Jawa lainnya. Dengan pelayanan ramah dan harga terjangkau, tempat ini menjadi favorit wisatawan yang ingin mencicipi kelezatan kuliner Solo.",https://storage.googleapis.com/bucketsformodel/gambar/DapurSolo.webp
13,De Tjolomadoe,Historical & Museum,9.00,17.00,"Jl. Adisucipto No.1, Paulan Wetan, Malangjiwan, Kec. Colomadu, Kabupaten Karanganyar, Jawa Tengah 57177",https://maps.app.goo.gl/yEV8jCuBsKeprrPU8,"De Tjolomadoe adalah bekas pabrik gula yang kini telah disulap menjadi destinasi wisata edukasi dan budaya di Karanganyar. Bangunan ini mempertahankan gaya arsitektur industrial klasik yang dipadukan dengan konsep modern. De Tjolomadoe sering digunakan untuk pameran seni, konser, dan acara budaya.

Selain menikmati keindahan arsitektur dan sejarahnya, pengunjung juga dapat menjelajahi museum yang menyimpan koleksi terkait proses pengolahan gula. Tersedia pula kafe dan toko suvenir untuk melengkapi pengalaman wisata di tempat ini.",https://storage.googleapis.com/bucketsformodel/gambar/DeTjolomadoe.jpg
14,Dolphin Tugu Waterpark,Waterpark,6.00,17.00,"Bulakrejo, Tugu, Jumantono, Karanganyar Regency, Central Java",https://maps.app.goo.gl/VPUZ4QLEm3GjsWJU7,"Dolphin Tugu Waterpark merupakan tempat wisata keluarga yang menawarkan berbagai wahana air menarik di Karanganyar. Dengan kolam renang yang luas, perosotan air, dan wahana permainan anak, tempat ini sangat cocok untuk liburan bersama keluarga.

Fasilitas yang lengkap seperti area makan, gazebo, dan ruang ganti menjadikan kunjungan lebih nyaman. Keamanan wahana juga sangat diperhatikan, sehingga pengunjung dapat bermain dengan tenang sambil menikmati kesegaran air.",https://storage.googleapis.com/bucketsformodel/gambar/DolphinTuguWaterpark.jpg
15,Galabo Solo,Food,17.00,2.00,"CRHH+2X4, Kedung Lumbu, Pasar Kliwon, Surakarta City, Central Java 57113",https://maps.app.goo.gl/NBAYFZAaycr1XboX8,"Galabo (Gladag Langen Bogan) adalah pusat kuliner malam di Kota Solo yang menawarkan beragam makanan khas Solo. Berlokasi strategis di area Gladag, tempat ini menjadi surga bagi pecinta kuliner yang ingin menikmati suasana malam kota sambil mencicipi berbagai hidangan.

Menu seperti tengkleng, nasi liwet, sate buntel, dan wedangan menjadi daya tarik utama Galabo. Selain makanannya, suasana meriah dan keramahan pedagangnya membuat pengalaman kuliner di Galabo semakin berkesan.",https://storage.googleapis.com/bucketsformodel/gambar/GalaboSolo.jpg
16,Grojogan Sewu Tawangmangu,Nature & Adventure & Park,8.00,16.00,"Jl. Raya Tawangmangu, Beji, Tawangmangu, Kec. Tawangmangu, Kabupaten Karanganyar, Jawa Tengah 57792",https://maps.app.goo.gl/DAV8kTczD5oNxzjF6,"Grojogan Sewu adalah salah satu air terjun paling terkenal di kawasan Tawangmangu, Karanganyar. Dengan ketinggian sekitar 81 meter, air terjun ini dikelilingi hutan tropis yang hijau, menciptakan suasana sejuk dan alami. Jalur menuju air terjun dilengkapi dengan tangga yang cukup menantang, menambah pengalaman seru bagi wisatawan.

Fasilitas seperti warung makan, area bermain, dan tempat istirahat tersedia di sekitar lokasi. Grojogan Sewu juga menjadi rumah bagi beberapa satwa liar, seperti monyet, yang menambah daya tarik tempat ini.",https://storage.googleapis.com/bucketsformodel/gambar/GrojoganSewuTawangmangu.jpg
17,Gunung Lawu,Nature & Adventure & Park,0.00,23.59,"Karanganyar di Jawa Tengah, Ngawi, dan Magetan di Jawa Timur.",https://maps.app.goo.gl/x1yTaFwxbKKCsc6p8,"Gunung Lawu adalah destinasi populer bagi pendaki dan pecinta alam yang ingin menikmati keindahan pegunungan di perbatasan Jawa Tengah dan Jawa Timur. Gunung ini memiliki beberapa jalur pendakian, seperti Cemoro Sewu dan Cemoro Kandang, yang menawarkan pengalaman mendaki dengan pemandangan yang menakjubkan.

Selain pendakian, Gunung Lawu juga terkenal dengan tempat-tempat spiritualnya seperti Hargo Dalem dan Hargo Dumilah. Suasana sejuk dan panorama alam yang indah menjadikan Gunung Lawu sebagai tempat favorit untuk melarikan diri dari kesibukan kota.",https://storage.googleapis.com/bucketsformodel/gambar/GunungLawu.jpg
18,Gunung Merbabu,Nature & Adventure & Park,0.00,23.59,Kabupaten Magelang,https://maps.app.goo.gl/NGw2iMkZxXmUoARZ8,"Gunung Merbabu adalah gunung berapi tidak aktif yang menawarkan pengalaman mendaki dengan pemandangan luar biasa. Terletak di Jawa Tengah, gunung ini memiliki jalur pendakian yang relatif ramah bagi pemula, seperti jalur Selo dan jalur Wekas.

Dari puncak Gunung Merbabu, pendaki dapat menyaksikan panorama gunung-gunung lain seperti Merapi, Sindoro, dan Sumbing. Padang sabana yang luas di sepanjang jalur pendakian menjadi salah satu daya tarik utama gunung ini.",https://storage.googleapis.com/bucketsformodel/gambar/GunungMerbabu.jpeg
19,Gunung Sepikul,Nature & Adventure & Park,0.00,23.59,"6V92+P22, Unnamed Road, Kerten, Tiyaran, Kec. Bulu, Kabupaten Sukoharjo, Jawa Tengah 57563",https://maps.app.goo.gl/AQ7Jgf6AczxEgFENA,"Gunung Sepikul adalah destinasi wisata alam yang menawarkan suasana tenang dan panorama indah di Wonogiri. Tempat ini cocok untuk trekking ringan atau sekadar menikmati pemandangan dari ketinggian. Nama SEPIKUL berasal dari bentuk batuan besar yang terlihat seperti barang yang dipikul.

Gunung ini menjadi pilihan menarik bagi mereka yang ingin menikmati alam tanpa harus melakukan pendakian yang berat. Pemandangan matahari terbenam dari puncaknya sering menjadi daya tarik bagi para fotografer dan pencinta alam.",https://storage.googleapis.com/bucketsformodel/gambar/GunungSepikul.jpg
20,Intan Pari Waterpark,Waterpark,5.30,17.00,"Jl. Jend. Gatot Subroto, Beningrejo, Gaum, Kec. Tasikmadu, Kabupaten Karanganyar, Jawa Tengah 57716",https://maps.app.goo.gl/bXHZiDa7DtFtNi3x6,"Intan Pari Waterpark adalah salah satu destinasi wisata air favorit di Karanganyar yang menawarkan berbagai wahana menarik untuk keluarga. Tempat ini memiliki kolam renang dengan beragam tingkat kedalaman, cocok untuk anak-anak maupun dewasa. Selain itu, terdapat wahana perosotan air dan kolam arus yang menyenangkan.

Fasilitas seperti gazebo, ruang ganti, dan area makan membuat kunjungan lebih nyaman. Intan Pari Waterpark juga sering mengadakan acara khusus seperti lomba renang atau kegiatan tematik yang menarik bagi pengunjung.",https://storage.googleapis.com/bucketsformodel/gambar/IntanPariWaterpark.jpg
21,Kali Pring Kuning,Nature & Adventure & Park,9.00,16.00,"Dusun Sayoran, Kemuning, Ngargoyoso, Karanganyar Regency, Central Java 57793",https://maps.app.goo.gl/mSkNgfECrNKc5PR87,"Kali Pring Kuning adalah wisata alam di Karanganyar yang menawarkan keindahan aliran sungai jernih di tengah pepohonan bambu. Suasana alami dan sejuk menjadi daya tarik utama tempat ini, menjadikannya lokasi ideal untuk piknik atau sekadar bersantai bersama keluarga.

Pengunjung juga dapat menikmati aktivitas seperti bermain air, memancing, atau menjelajahi sekitar sungai yang penuh dengan keindahan alam. Fasilitas sederhana seperti tempat duduk dan warung makan tradisional melengkapi pengalaman wisata di Kali Pring Kuning.",https://storage.googleapis.com/bucketsformodel/gambar/KaliPringKuning.jpg
22,Kali Pucung,Nature & Adventure & Park,9.00,15.00,"Spranten, Kemuning, Ngargoyoso, Karanganyar Regency, Central Java 57793",https://maps.app.goo.gl/vBVRAffbP2vo78XG9,"Kali Pucung merupakan destinasi wisata alam yang menampilkan keindahan sungai dengan latar pegunungan hijau di Karanganyar. Tempat ini cocok untuk mereka yang ingin menikmati ketenangan alam, jauh dari keramaian kota. Wisatawan sering datang untuk bersantai di tepi sungai atau bermain air di aliran yang jernih.

Fasilitas seperti jembatan bambu dan tempat duduk sederhana menambah kenyamanan pengunjung. Kali Pucung juga menjadi favorit bagi para fotografer yang mencari spot alami untuk menangkap keindahan alam.",https://storage.googleapis.com/bucketsformodel/gambar/KaliPucung.jpg
23,Kebun Strawberry Karanganyar,Nature & Adventure & Park,7.00,15.00,"84RX+R3W, Ombang- Ombang, Blumbang, Kec. Tawangmangu, Kabupaten Karanganyar, Jawa Tengah 57792",https://maps.app.goo.gl/KfBCqk9NghKB5KP76,"Kebun Strawberry di Karanganyar menawarkan pengalaman wisata petik buah langsung dari kebunnya. Pengunjung dapat menikmati suasana segar di perkebunan strawberry sambil belajar tentang cara menanam dan merawat tanaman ini.

Selain memetik strawberry, wisatawan juga bisa mencicipi olahan buah segar seperti jus, selai, atau kue berbahan dasar strawberry. Tempat ini cocok untuk wisata edukasi keluarga sekaligus menikmati pengalaman baru di alam.",https://storage.googleapis.com/bucketsformodel/gambar/KebunStrawberryKaranganyar.webp
24,Kemuning Sky Hills,Nature & Adventure & Park,8.00,18.30,"C44J+9P9, Jl. Karangpandan-Ngargoyoso, Sumbersari, Kemuning, Kec. Ngargoyoso, Kabupaten Karanganyar, Jawa Tengah 57794",https://maps.app.goo.gl/ARRWj3N1dad4LsYNA,"Kemuning Sky Hills adalah tempat wisata alam yang menawarkan pemandangan menakjubkan dari ketinggian di daerah Kemuning, Karanganyar. Tempat ini menjadi favorit untuk menikmati matahari terbit atau terbenam, dengan hamparan kebun teh yang hijau sebagai latarnya.

Pengunjung dapat bersantai di kafe yang tersedia sambil menikmati minuman hangat dan udara sejuk pegunungan. Selain itu, spot foto yang instagrammable menjadikan tempat ini populer di kalangan wisatawan muda.",https://storage.googleapis.com/bucketsformodel/gambar/KemuningSkyHills.webp
25,Keraton Kasunanan Surakarta,Historical & Museum,9.00,15.00,"Jl. Kamandungan, Baluwarti, Kec. Ps. Kliwon, Kota Surakarta, Jawa Tengah 57144",https://maps.app.goo.gl/uQXawufQKBe7QSGg7,"Keraton Kasunanan Surakarta adalah istana kerajaan yang menjadi saksi sejarah Kota Solo. Bangunan megah ini menawarkan pengalaman wisata budaya yang mendalam, dengan koleksi benda-benda bersejarah seperti kereta kerajaan, senjata tradisional, dan artefak kuno.

Wisatawan dapat mengikuti tur yang dipandu untuk mempelajari tradisi dan sejarah kerajaan Mataram. Keraton ini juga sering menjadi lokasi penyelenggaraan acara budaya seperti upacara adat dan pertunjukan seni.",https://storage.googleapis.com/bucketsformodel/gambar/KeratonKasunananSurakarta.jpg
26,Lawu Offroad Community,Nature & Adventure & Park,9.00,15.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/BauA2yq9xyaecZ8p8,"Lawu Offroad Community menawarkan pengalaman seru menjelajahi medan pegunungan di sekitar Gunung Lawu dengan kendaraan off-road. Wisatawan dapat menikmati sensasi petualangan melewati jalur berbatu, lumpur, dan hutan lebat.

Selain menawarkan pengalaman seru, aktivitas ini juga menghadirkan pemandangan alam yang memukau di sepanjang perjalanan. Paket tur off-road biasanya mencakup pemandu yang berpengalaman dan fasilitas keselamatan lengkap.",https://storage.googleapis.com/bucketsformodel/gambar/LawuOffroadCommunity.png
27,Lawu Park ATV Riding,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/z6PsPsG1gfcCkRGH8,"Lawu Park ATV Riding adalah aktivitas seru bagi pengunjung yang ingin menjelajahi area Lawu Park dengan kendaraan ATV. Dengan jalur yang menantang namun aman, wisatawan dapat menikmati petualangan di tengah suasana pegunungan yang sejuk.

Pengalaman ini cocok untuk semua usia dan sering dijadikan pilihan wisata keluarga atau kelompok. Fasilitas pendukung seperti penyewaan alat keselamatan dan pemandu profesional membuat kegiatan ini nyaman dan menyenangkan.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkATVRiding.jpg
28,Lawu Park Flying Fox,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/KZxMiwWw2LyYJ6fE6,"Flying Fox di Lawu Park adalah salah satu atraksi yang memacu adrenalin dengan menawarkan pengalaman meluncur di atas ketinggian. Jalur flying fox ini membentang di atas area hijau yang indah, memberikan sensasi seru sambil menikmati pemandangan alam.

Aktivitas ini dilengkapi dengan standar keselamatan yang tinggi, sehingga aman untuk semua usia. Pengalaman meluncur di udara terbuka menjadi salah satu kegiatan favorit pengunjung yang ingin mencoba sesuatu yang berbeda.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkFlyingFox.jpg
29,Lawu Park High Rope,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/KZxMiwWw2LyYJ6fE6,"High Rope di Lawu Park menawarkan aktivitas seru dan menantang untuk para penggemar olahraga petualangan. Pengunjung dapat menikmati berbagai rintangan di ketinggian, seperti jembatan tali, ayunan gantung, dan jaring laba-laba, semuanya dirancang untuk menguji keseimbangan dan keberanian.

Aktivitas ini dilakukan di bawah pengawasan instruktur profesional dan menggunakan peralatan keselamatan berkualitas tinggi. Dengan suasana alam yang asri, kegiatan ini menjadi pengalaman tak terlupakan untuk wisatawan.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkHighRope.webp
30,Lawu Park Horse Riding,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/KZxMiwWw2LyYJ6fE6,"Lawu Park Horse Riding adalah aktivitas wisata yang menawarkan pengalaman berkuda di tengah keindahan alam pegunungan Lawu. Dengan pemandangan hijau yang menyejukkan, pengunjung dapat menikmati perjalanan santai bersama kuda yang terlatih.

Kegiatan ini cocok untuk semua kalangan, termasuk anak-anak yang ingin mencoba pengalaman baru. Fasilitas seperti pemandu berkuda dan jalur aman menjadikan aktivitas ini nyaman dan menyenangkan.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkHorseRiding.png
31,Lawu Park Jeep Wisata,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/FRG2WhM7cS2VDGk9A,"Jeep Wisata di Lawu Park memberikan pengalaman menjelajahi area pegunungan dengan kendaraan jeep yang tangguh. Jalur wisata ini melewati medan berbatu, hutan pinus, dan area terbuka dengan pemandangan spektakuler.

Paket wisata ini biasanya mencakup sopir berpengalaman yang juga berfungsi sebagai pemandu, sehingga pengunjung dapat menikmati perjalanan dengan aman. Jeep wisata ini sangat cocok untuk keluarga atau kelompok yang ingin mengeksplorasi alam dengan cara yang berbeda.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkJeepWisata.jpg
32,Lawu Park Rabbit Park,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/Xz56cQK3kvou3nPu5,"Rabbit Park di Lawu Park adalah area bermain yang cocok untuk anak-anak dan keluarga yang ingin berinteraksi dengan kelinci. Di taman ini, pengunjung dapat memberi makan, memegang, dan bermain dengan kelinci yang lucu dan jinak.

Tempat ini dirancang dengan suasana yang aman dan nyaman, serta dilengkapi dengan fasilitas edukasi tentang cara merawat hewan. Rabbit Park menjadi pilihan menarik untuk mengisi waktu liburan bersama keluarga.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkRabbitPark.webp
33,Lawu Park Sheep Park,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/Xz56cQK3kvou3nPu5,"Sheep Park di Lawu Park menghadirkan pengalaman unik untuk berinteraksi dengan domba-domba lucu di tengah suasana alam. Wisatawan dapat memberi makan dan mempelajari cara merawat hewan ini dari staf yang ramah.

Dengan pemandangan hijau yang indah, tempat ini menawarkan suasana santai dan edukatif, terutama bagi anak-anak. Sheep Park juga menjadi spot foto favorit bagi pengunjung yang ingin mengabadikan momen bersama hewan.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkSheepPark.webp
34,Lawu Park Trail Motorcycle,Nature & Adventure & Park,8.00,17.00,"Tawangmangu, Jawa Tengah, Indonesia.",https://maps.app.goo.gl/z8tTS5a9nSFiGauS8,"Berkendara motor trail di Lawu Park merupakan pengalaman yang memacu adrenalin sekaligus menantang. Dengan perlengkapan keselamatan yang lengkap, wisatawan dapat menikmati sensasi bermanuver di medan off-road yang menantang. Bagi para pecinta alam yang juga penggemar motor, Lawu Park adalah tempat ideal untuk menguji kemampuan berkendara di medan berbukit. Rasakan sensasi berpetualang di alam terbuka sambil menikmati keindahan alam yang menakjubkan.",https://storage.googleapis.com/bucketsformodel/gambar/LawuParkTrailMotorcycle.jpg
35,Lokananta,Historical & Museum,10.00,23.00,"CQVW+49P, Kerten, Laweyan, Surakarta City, Central Java 57143",https://maps.app.goo.gl/DVfX2PS5fzZG8oxN9,"Pernahkah Anda membayangkan bisa mendengar suara asli para legenda musik Indonesia? Di Lokananta, studio rekaman pertama dan terbesar di tanah air, mimpi itu bisa jadi kenyataan! Dengan koleksi ribuan piringan hitam dan master rekaman asli, Lokananta adalah kapsul waktu yang menyimpan sejarah musik Indonesia. Selain menjadi surga bagi para pencinta musik, Lokananta juga menawarkan pengalaman unik yang tak akan Anda temukan di tempat lain. Kunjungi museum mini yang menyimpan berbagai memorabilia musik, ikuti workshop rekaman, atau nikmati pertunjukan musik live dari musisi-musisi berbakat. Lokananta adalah destinasi wisata yang cocok untuk semua kalangan, baik Anda penggemar musik veteran maupun generasi muda yang ingin mengenal lebih dekat sejarah musik Indonesia. Jangan lewatkan kesempatan untuk mengunjungi tempat legendaris ini!",https://storage.googleapis.com/bucketsformodel/gambar/LOKANANTA.jpg
